FID,id,name,AREA,PERIMETER,RID,numPixels,avg_Band1,sum_Band1
0,,8,53262326429368.8,25227163.252041,carbon.tif,2971251,5883.402555,17481065726.000000
0,,8,53262326429368.8,25227163.252041,carbon.tif,2971251,5883.402555,17481065726.000000
0,,8,53262326429368.8,25227163.252041,carbon.tif,2971251,5883.402555,17481065726.000000
0,,8,53262326429368.8,25227163.252041,carbon.tif,2971251,5883.402555,17481065726.000000
0,,8,53262326429368.8,25227163.252041,carbon.tif,2971251,5883.402555,17481065726.000000
0,,8,53262326429368.8,25227163.252041,carbon.tif,2971251,5883.402555,17481065726.000000
0,,8,53262326429368.8,25227163.252041,carbon.tif,2971251,5883.402555,17481065726.000000
0,,8,53262326429368.8,25227163.252041,carbon.tif,2971251,5883.402555,17481065726.000000
0,,8,53262326429368.8,25227163.252041,carbon.tif,2971251,5883.402555,17481065726.000000
0,,8,53262326429368.8,25227163.252041,carbon.tif,2971251,5883.402555,17481065726.000000
0,,8,53262326429368.8,25227163.252041,carbon.tif,2971251,5883.402555,17481065726.000000
0,,8,53262326429368.8,25227163.252041,carbon.tif,2971251,5883.402555,17481065726.000000
0,,8,53262326429368.8,25227163.252041,carbon.tif,2971251,5883.402555,17481065726.000000
0,,8,53262326429368.8,25227163.252041,carbon.tif,2971251,5883.402555,17481065726.000000
